Título,Fecha de publicación,Estado,Formato,Imagen,Archivos,Link,Canva,Pilar,Caption,Hashtags,Música,Likes,Fijado,Ocultar,Orden
El stack perfecto para el día a día,2026-04-30,En proceso,Reel,Link,,https://TU-PROYECTO.vercel.app/samples/post-01.svg,,Colaboración,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Pearls — Sade,100,TRUE,FALSE,1
Piedras que deberías conocer,2026-04-28,Listo,Photo,Link,,https://TU-PROYECTO.vercel.app/samples/post-02.svg,,Comunidad,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Música original,123,TRUE,FALSE,2
Combinaciones 101: Plata y Oro,2026-04-26,Idea,Reel,Link,,https://TU-PROYECTO.vercel.app/samples/post-03.svg,,Lifestyle,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Música original,146,TRUE,FALSE,3
Mini guía: cómo capear tus anillos,2026-04-24,Diseñando,Reel,Link,,https://TU-PROYECTO.vercel.app/samples/post-04.svg,,Behind the scenes,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Pearls — Sade,169,FALSE,FALSE,4
Joyas que nunca pasan de moda,2026-04-22,Programado,Carousel,Link,,https://TU-PROYECTO.vercel.app/samples/post-05.svg,,Lifestyle,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Música original,192,FALSE,FALSE,5
Cómo usar perlas en 2025,2026-04-20,Publicado,Photo,Link,,https://TU-PROYECTO.vercel.app/samples/post-06.svg,,Educativo,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Música original,215,FALSE,FALSE,6
Por qué el plata se ve bien con todo,2026-04-18,En proceso,Reel,Link,,https://TU-PROYECTO.vercel.app/samples/post-07.svg,,Inspiracional,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Pearls — Sade,238,FALSE,FALSE,7
Outfit + joyas: tono tierra,2026-04-16,Listo,Photo,Link,,https://TU-PROYECTO.vercel.app/samples/post-08.svg,,Entretenimiento,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Música original,261,FALSE,FALSE,8
La pulsera que uso todos los días,2026-04-14,Idea,Reel,Link,,https://TU-PROYECTO.vercel.app/samples/post-09.svg,,Promocional,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Música original,284,FALSE,FALSE,9
Cómo limpiar tus joyas en casa,2026-04-12,Diseñando,Reel,Link,,https://TU-PROYECTO.vercel.app/samples/post-10.svg,,Colaboración,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Pearls — Sade,307,FALSE,FALSE,10
Aretes para cada ocasión,2026-04-10,Programado,Carousel,Link,,https://TU-PROYECTO.vercel.app/samples/post-11.svg,,Comunidad,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Música original,330,FALSE,FALSE,11
El anillo que lo cambia todo,2026-04-08,Publicado,Photo,Link,,https://TU-PROYECTO.vercel.app/samples/post-12.svg,,Lifestyle,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Música original,353,FALSE,FALSE,12
Behind the scenes: nuestra última sesión,2026-04-06,En proceso,Reel,Link,,https://TU-PROYECTO.vercel.app/samples/post-13.svg,,Behind the scenes,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Pearls — Sade,376,FALSE,FALSE,13
Tendencias de joyería este año,2026-04-04,Listo,Photo,Link,,https://TU-PROYECTO.vercel.app/samples/post-14.svg,,Lifestyle,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Música original,399,FALSE,FALSE,14
Minimalismo en joyas: menos es más,2026-04-02,Idea,Reel,Link,,https://TU-PROYECTO.vercel.app/samples/post-15.svg,,Educativo,Las piezas más bonitas también pueden formar parte de todos los días.,#jewelry #pearls #slowfashion #contentplanning,Música original,422,FALSE,FALSE,15
